BIP_SA_DE,BIPVOL_SA_DE,CPR_SA_DE,CPRVOL_SA_DE,BAI_SA_DE,BAIVOL_SA_DE,AVETI_SA_DE,ETI_SA_DE,PRODH_SA_DE,PRODN_SA_DE,VERDH_SA_DE,VERDN_SA_DE,BIPP_SA_DE
659.036,89.98,366.333,94.98,127.836,83.32,14637.5341,41169,90.76,98.27,21.81,2454,84.90112015
666.054,90.57,369.897,95.44,126.389,82.37,14745.0765,41268,90.14,98.68,21.6,2472,85.24626178
678.714,92.21,371.609,95.19,134.32,86.64,14798.1447,41378,91.92,100.2,22.1,2506,85.32161275
682.474,92.46,375.283,95.61,136.342,87.44,14791.8288,41515,92.34,100.14,22.41,2530,85.56230823
689.503,92.96,377.395,95.99,138.556,88.54,14819.3906,41634,92.62,100.4,22.49,2536,85.97858936
692.457,92.95,380.295,96.25,138.397,88.12,14823.6711,41761,92.57,100.09,22.69,2549,86.35623234
694.811,93.15,383.976,96.68,139.51,88.19,14816.3507,41911,92.69,99.94,22.82,2575,86.46375582
697.672,93.25,385.156,96.9,140.404,88.37,14791.162,42016,93.17,99.8,23.47,2604,86.72668041
703.673,93.44,387.904,97.21,140.537,88.08,14794.309,42116,93.28,99.75,23.59,2610,87.29479069
704.449,93.16,388.601,96.75,139.792,87.41,14812.3107,42225,93.21,99.21,23.76,2624,87.65371905
706.273,92.64,389.449,96.42,135.053,84.25,14694.4571,42279,93.24,98.52,24.13,2634,88.37396244
715.57,93.72,392.896,97.31,140.709,87.49,14795.1796,42314,93.48,99.59,23.97,2658,88.50547048
722.709,94.2,395.939,97.68,142.108,87.57,14893.9319,42415,93.39,99.87,24.01,2676,88.93297704
726.679,94.34,395.042,97,145.443,89.22,14907.9443,42511,93.64,99.79,24.31,2690,89.28880453
739.433,95.33,397.983,97.28,148.431,90.88,15001.6038,42647,93.81,100.52,24.43,2720,89.91238255
743.248,95.31,399.136,97.69,147.221,89.88,14982.5836,42741,94.04,100.27,24.69,2737,90.39523748
748.844,95.84,403.235,98.45,147.568,89.73,14974.9627,42801,94.54,100.68,24.76,2755,90.57217973
757.61,96.57,406.26,98.93,149.293,90.46,15014.2491,42843,94.99,101.35,24.95,2774,90.93974611
760.053,96.36,405.765,99.35,149.72,90.3,15055.1625,42920,94.59,100.95,25.1,2792,91.43181828
768.647,96.86,412.13,99.84,150.621,90.6,15123.6131,43075,94.66,101.12,25.41,2827,91.9883316
775.003,97.38,414.829,100.45,151.956,91.09,15087.7317,43212,95.3,101.33,25.49,2839,92.25371921
780.655,97.88,417.458,101.27,155.856,93.14,15107.7218,43347,95.27,101.54,25.49,2858,92.45181792
790.265,98.74,419.1,101.93,158.782,94.72,15170.798,43457,96.42,102.16,26.1,2877,92.77477193
794.808,98.96,421.354,101.77,157.747,93.73,15204.36,43615,95.89,102.02,25.69,2891,93.10067152
799.143,99.31,425.147,102.25,160.051,94.74,15261.6754,43756,96.09,102.06,26.12,2908,93.27855036
805.769,99.77,429.952,103.04,161.273,95.15,15259.5671,43924,96.55,102.14,26.46,2932,93.61832209
818.689,101.06,432.321,103.31,163.114,95.6,15296.8003,44054,97.4,103.15,26.4,2951,93.90526263
828.333,101.78,438.425,104.16,167.878,97.84,15385.5749,44219,97.82,103.5,26.86,2973,94.33932996
839.457,102.59,440.554,104.06,169.953,98.57,15448.8924,44379,98.11,103.94,26.97,2988,94.85138908
850.792,103.63,444.32,104.95,171.966,98.97,15497.9361,44513,99.17,104.69,27.35,3016,95.1673924
849.366,103.06,446.624,105.15,174.042,99.54,15383.8186,44692,99.04,103.69,27.66,3041,95.53334942
859.286,103.87,451.252,105.49,177.762,100.94,15566.0049,44834,98.48,104.17,27.59,3073,95.89542203
859.359,103.19,453.992,105.38,181.375,102.09,15541.0393,44946,98.07,103.23,28.11,3098,96.53555273
